,title,price,url,image url
45,Adhunik  Bangla Abhidhan : Bangla Academy,$85.00,https://atnmegastore.ca/product/adhunik-bangla-abhidhan-bangla-academy/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
46,Adhunik Bangla Kobita : Abu Sayeed & Hirendranath Mukhopadhaya,$14.00,https://atnmegastore.ca/product/adhunik-bangla-kobita/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
47,Adhunik Goru-Rochonasamogro (2023) : Mohiuddin Mohammad,$40.00,https://atnmegastore.ca/product/adhunik-goru-rochonasamogro-2023-mohiuddin-mohammad/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2023/04/Mohiuddin-mohammad20230422_18595287-500x745.jpg
48,Adim Andhakare Arjun : Samaresh Majumder,$10.00,https://atnmegastore.ca/product/adim-andhakare-arjun/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
49,Adorer Upbash: Rabindranath,$9.00,https://atnmegastore.ca/product/adorer-upbash-rabindranath/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/197120200719_16532394.jpg?time=1695052098
50,Advanced Complete MathSmart 1,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-1/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19192285.jpg?time=1695052098
51,Advanced Complete MathSmart 2,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-2/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19165311.jpg?time=1695052098
52,Advanced Complete MathSmart 3,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-3/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19234960.jpg?time=1695052098
53,Advanced Complete MathSmart 4,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-4/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19325093.jpg?time=1695052098
54,Advanced Complete MathSmart 5,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-5/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19384619.jpg?time=1695052098
55,Advanced Complete MathSmart 6,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-6/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19474467.jpg?time=1695052098
56,Advanced Complete MathSmart 7,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-7/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19531916.jpg?time=1695052098
57,Advanced Complete MathSmart 8,$18.95,https://atnmegastore.ca/product/advanced-complete-mathsmart-8/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/06/AMS20210611_19584599.jpg?time=1695052098
58,Agnibalaka,$65.00,https://atnmegastore.ca/product/agnibalaka/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/197120200719_16511584.jpg?time=1695052098
59,Agnikanya,$30.00 $15.00,https://atnmegastore.ca/product/agnikanya/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/197120200719_16310031.jpg?time=1695052098
60,Agnirath : Samaresh Majumder,$45.00,https://atnmegastore.ca/product/agnirath/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Samaresh-Mojumder20200612_0023.jpg?time=1695052098
61,Agunpakhi,$13.50,https://atnmegastore.ca/product/agunpakhi/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Agunpakhi.jpg?time=1695052098
62,AhaTuntuni Uhu Chotachchu : Muhammed Zafar Iqbal,$25.00,https://atnmegastore.ca/product/ahatuntuni-uhu-chotachchu-md-zafar-iqbal/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2022/04/Aha-Tuntuni-Uhu-Chotacchu.jpg?time=1695052098
63,Ahingsa : Manik Bandyopadhaya,$15.00,https://atnmegastore.ca/product/ahingsa-manik-bandyopadhaya/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/04/Book20210411_21565524.jpg?time=1695052098
64,Ahitagni : Ahmad Sofa,$8.00,https://atnmegastore.ca/product/ahitagni-ahmad-sofa/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
65,Ahkamul Hadith,$20.00,https://atnmegastore.ca/product/ahkamul-hadith/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
66,Ahmed sofa sanjibani  : Salimullah Khan,$45.00,https://atnmegastore.ca/product/ahmed-sofa-sanjibani-salimullah-khan/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2023/02/Salimullah-Khan20230402_15365365-1.jpg?time=1695052098
67,Ahsanul Qawaid,$6.00,https://atnmegastore.ca/product/ahsanul-qawaid/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/01/Al-Quran20210111_19472174.jpg?time=1695052098
68,Ahsanul Qawaid,$5.00,https://atnmegastore.ca/product/ahsanul-qawaid-2/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/01/Al-Quran20210111_19590644.jpg?time=1695052098
69,Ahsanul Qawaid,$10.00,https://atnmegastore.ca/product/ahsanul-qawaid-3/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/01/Al-Quran20210111_19505271.jpg?time=1695052098
70,Akannabarty : Joy Goswami,$15.00,https://atnmegastore.ca/product/akannabarty/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/S20200928_21024861-500x625.jpg
71,Aktukhani Bigyan :Muhammed Zafar Iqbal,$15.00,https://atnmegastore.ca/product/aktukhani-bigyan/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/S20201008_20145470.jpg?time=1695052098
72,Al Quran  :  A-1 VIP,$60.00,https://atnmegastore.ca/product/al-quran-7/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Quran-shoreef-Arabic-A-1-VIP.jpg?time=1695052098
73,Al Quran :  A-1,$38.00,https://atnmegastore.ca/product/al-quran-a-1/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Al-Quran-Kolkata-A-12-500x653.jpg
74,Al Quran :  A-1 Art,$50.00,https://atnmegastore.ca/product/al-quran-a-1-art/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2022/04/7-July-20220707_15091279.jpg?time=1695052098
